+0051900 -0040200 Africa/Abidjan
+0053300 +0001300 Africa/Accra
+0090200 +0384200 Africa/Addis_Ababa
+0364700 +0030300 Africa/Algiers
+0152000 +0385300 Africa/Asmera
+0123900 -0080000 Africa/Bamako
+0042200 +0183500 Africa/Bangui
+0132800 -0163900 Africa/Banjul
+0115100 -0153500 Africa/Bissau
-0154700 +0350000 Africa/Blantyre
-0041600 +0151700 Africa/Brazzaville
-0032300 +0292200 Africa/Bujumbura
+0300300 +0311500 Africa/Cairo
+0333900 -0073500 Africa/Casablanca
+0355300 -0051900 Africa/Ceuta
+0093100 -0134300 Africa/Conakry
+0144000 -0172600 Africa/Dakar
-0064800 +0391700 Africa/Dar_es_Salaam
+0113600 +0430900 Africa/Djibouti
+0040300 +0094200 Africa/Douala
+0270900 -0131200 Africa/El_Aaiun
+0083000 -0131500 Africa/Freetown
-0254500 +0255500 Africa/Gaborone
-0175000 +0310300 Africa/Harare
-0261500 +0280000 Africa/Johannesburg
+0001900 +0322500 Africa/Kampala
+0153600 +0323200 Africa/Khartoum
-0015700 +0300400 Africa/Kigali
-0041800 +0151800 Africa/Kinshasa
+0062700 +0032400 Africa/Lagos
+0002300 +0092700 Africa/Libreville
+0060800 +0011300 Africa/Lome
-0084800 +0131400 Africa/Luanda
-0114000 +0272800 Africa/Lubumbashi
-0152500 +0281700 Africa/Lusaka
+0034500 +0084700 Africa/Malabo
-0255800 +0323500 Africa/Maputo
-0292800 +0273000 Africa/Maseru
-0261800 +0310600 Africa/Mbabane
+0020400 +0452200 Africa/Mogadishu
+0061800 -0104700 Africa/Monrovia
-0011700 +0364900 Africa/Nairobi
+0120700 +0150300 Africa/Ndjamena
+0133100 +0020700 Africa/Niamey
+0180600 -0155700 Africa/Nouakchott
+0122200 -0013100 Africa/Ouagadougou
+0062900 +0023700 Africa/Porto-Novo
+0002000 +0064400 Africa/Sao_Tome
+0144600 -0030100 Africa/Timbuktu
+0325400 +0131100 Africa/Tripoli
+0364800 +0101100 Africa/Tunis
-0223400 +0170600 Africa/Windhoek
+0515248 -1763929 America/Adak
+0611305 -1495401 America/Anchorage
+0181200 -0630400 America/Anguilla
+0170300 -0614800 America/Antigua
-0071200 -0481200 America/Araguaina
+0123000 -0685800 America/Aruba
-0251600 -0574000 America/Asuncion
+0130600 -0593700 America/Barbados
-0012700 -0482900 America/Belem
+0173000 -0881200 America/Belize
+0024900 -0604000 America/Boa_Vista
+0043600 -0740500 America/Bogota
+0433649 -1161209 America/Boise
-0343600 -0582700 America/Buenos_Aires
+0690300 -1050500 America/Cambridge_Bay
+0210500 -0864600 America/Cancun
+0103000 -0665600 America/Caracas
-0282800 -0654700 America/Catamarca
+0045600 -0522000 America/Cayenne
+0191800 -0812300 America/Cayman
+0415100 -0873900 America/Chicago
+0283800 -1060500 America/Chihuahua
-0312400 -0641100 America/Cordoba
+0095600 -0840500 America/Costa_Rica
-0153500 -0560500 America/Cuiaba
+0121100 -0690000 America/Curacao
+0640400 -1392500 America/Dawson
+0594600 -1201400 America/Dawson_Creek
+0394421 -1045903 America/Denver
+0421953 -0830245 America/Detroit
+0151800 -0612400 America/Dominica
+0533300 -1132800 America/Edmonton
-0064000 -0695200 America/Eirunepe
+0134200 -0891200 America/El_Salvador
-0034300 -0383000 America/Fortaleza
+0461200 -0595700 America/Glace_Bay
+0641100 -0514400 America/Godthab
+0532000 -0602500 America/Goose_Bay
+0212800 -0710800 America/Grand_Turk
+0120300 -0614500 America/Grenada
+0161400 -0613200 America/Guadeloupe
+0143800 -0903100 America/Guatemala
-0021000 -0795000 America/Guayaquil
+0064800 -0581000 America/Guyana
+0443900 -0633600 America/Halifax
+0230800 -0822200 America/Havana
+0290400 -1105800 America/Hermosillo
+0394606 -0860929 America/Indiana/Indianapolis
+0411745 -0863730 America/Indiana/Knox
+0382232 -0862041 America/Indiana/Marengo
+0384452 -0850402 America/Indiana/Vevay
+0394606 -0860929 America/Indianapolis
+0682500 -1133000 America/Inuvik
+0634400 -0682800 America/Iqaluit
+0180000 -0764800 America/Jamaica
